month,search_term,google_trends_interest,event_name,event_type,is_event_month
2021-05-01,rhode_skin,2,none,none,0
2021-06-01,rhode_skin,2,none,none,0
2021-07-01,rhode_skin,2,none,none,0
2021-08-01,rhode_skin,2,none,none,0
2021-09-01,rhode_skin,1,none,none,0
2021-10-01,rhode_skin,1,none,none,0
2021-11-01,rhode_skin,1,none,none,0
2021-12-01,rhode_skin,1,none,none,0
2022-01-01,rhode_skin,2,none,none,0
2022-02-01,rhode_skin,2,none,none,0
2022-03-01,rhode_skin,2,none,none,0
2022-04-01,rhode_skin,3,none,none,0
2022-05-01,rhode_skin,3,none,none,0
2022-06-01,rhode_skin,35,Rhode officially launches,brand_launch,1
2022-07-01,rhode_skin,19,none,none,0
2022-08-01,rhode_skin,17,none,none,0
2022-09-01,rhode_skin,12,none,none,0
2022-10-01,rhode_skin,12,none,none,0
2022-11-01,rhode_skin,18,none,none,0
2022-12-01,rhode_skin,15,none,none,0
2023-01-01,rhode_skin,14,none,none,0
2023-02-01,rhode_skin,13,none,none,0
2023-03-01,rhode_skin,13,Rhode reports major waitlist and expansion momentum,business_growth,1
2023-04-01,rhode_skin,10,none,none,0
2023-05-01,rhode_skin,6,none,none,0
2023-06-01,rhode_skin,10,none,none,0
2023-07-01,rhode_skin,11,none,none,0
2023-08-01,rhode_skin,15,none,none,0
2023-09-01,rhode_skin,17,none,none,0
2023-10-01,rhode_skin,17,none,none,0
2023-11-01,rhode_skin,25,none,none,0
2023-12-01,rhode_skin,22,none,none,0
2024-01-01,rhode_skin,22,Pineapple Refresh Cleanser becomes available,skincare_product_launch,1
2024-02-01,rhode_skin,27,none,none,0
2024-03-01,rhode_skin,20,none,none,0
2024-04-01,rhode_skin,18,none,none,0
2024-05-01,rhode_skin,17,none,none,0
2024-06-01,rhode_skin,27,none,none,0
2024-07-01,rhode_skin,26,none,none,0
2024-08-01,rhode_skin,22,none,none,0
2024-09-01,rhode_skin,20,none,none,0
2024-10-01,rhode_skin,21,Rhode Barrier Butter launches,skincare_product_launch,1
2024-11-01,rhode_skin,48,none,none,0
2024-12-01,rhode_skin,69,none,none,0
2025-01-01,rhode_skin,44,none,none,0
2025-02-01,rhode_skin,37,none,none,0
2025-03-01,rhode_skin,33,none,none,0
2025-04-01,rhode_skin,24,none,none,0
2025-05-01,rhode_skin,29,e.l.f. Beauty announces Rhode acquisition,business_event,1
2025-06-01,rhode_skin,30,none,none,0
2025-07-01,rhode_skin,46,none,none,0
2025-08-01,rhode_skin,34,none,none,0
2025-09-01,rhode_skin,35,none,none,0
2025-10-01,rhode_skin,28,none,none,0
2025-11-01,rhode_skin,55,none,none,0
2025-12-01,rhode_skin,56,none,none,0
2026-01-01,rhode_skin,41,none,none,0
2026-02-01,rhode_skin,49,none,none,0
2026-03-01,rhode_skin,46,none,none,0
2026-04-01,rhode_skin,100,none,none,0
2026-05-01,rhode_skin,46,none,none,0
2021-05-01,rhode_lip_treatment,0,none,none,0
2021-06-01,rhode_lip_treatment,0,none,none,0
2021-07-01,rhode_lip_treatment,0,none,none,0
2021-08-01,rhode_lip_treatment,0,none,none,0
2021-09-01,rhode_lip_treatment,0,none,none,0
2021-10-01,rhode_lip_treatment,0,none,none,0
2021-11-01,rhode_lip_treatment,0,none,none,0
2021-12-01,rhode_lip_treatment,0,none,none,0
2022-01-01,rhode_lip_treatment,0,none,none,0
2022-02-01,rhode_lip_treatment,0,none,none,0
2022-03-01,rhode_lip_treatment,0,none,none,0
2022-04-01,rhode_lip_treatment,0,none,none,0
2022-05-01,rhode_lip_treatment,0,none,none,0
2022-06-01,rhode_lip_treatment,3,Peptide Lip Treatment included in first Rhode drop,product_launch,1
2022-07-01,rhode_lip_treatment,7,none,none,0
2022-08-01,rhode_lip_treatment,7,none,none,0
2022-09-01,rhode_lip_treatment,10,none,none,0
2022-10-01,rhode_lip_treatment,10,none,none,0
2022-11-01,rhode_lip_treatment,23,none,none,0
2022-12-01,rhode_lip_treatment,26,none,none,0
2023-01-01,rhode_lip_treatment,18,none,none,0
2023-02-01,rhode_lip_treatment,14,none,none,0
2023-03-01,rhode_lip_treatment,8,none,none,0
2023-04-01,rhode_lip_treatment,6,none,none,0
2023-05-01,rhode_lip_treatment,5,none,none,0
2023-06-01,rhode_lip_treatment,5,none,none,0
