"Time","rhode skin","rhode lip treatment","hailey bieber skincare","rhode phonecase","glazed donut skin"
"2021-05-01",2,0,1,0,0
"2021-06-01",2,0,1,0,0
"2021-07-01",2,0,0,0,0
"2021-08-01",2,0,1,0,0
"2021-09-01",1,0,0,0,0
"2021-10-01",1,0,0,0,0
"2021-11-01",1,0,0,0,0
"2021-12-01",1,0,1,0,0
"2022-01-01",2,0,1,0,0
"2022-02-01",2,0,2,0,0
"2022-03-01",2,0,2,0,1
"2022-04-01",3,0,4,0,0
"2022-05-01",3,0,4,0,0
"2022-06-01",35,3,35,0,1
"2022-07-01",19,7,11,0,1
"2022-08-01",17,7,7,0,1
"2022-09-01",12,10,7,0,1
"2022-10-01",12,10,5,0,1
"2022-11-01",18,23,7,0,1
"2022-12-01",15,26,5,0,1
"2023-01-01",14,18,5,0,1
"2023-02-01",13,14,5,0,1
"2023-03-01",13,8,4,0,1
"2023-04-01",10,6,2,0,1
"2023-05-01",6,5,2,0,0
"2023-06-01",10,5,2,0,1
"2023-07-01",11,7,2,0,1
"2023-08-01",15,9,3,0,1
"2023-09-01",17,14,2,0,1
"2023-10-01",17,15,3,0,1
"2023-11-01",25,26,3,0,1
"2023-12-01",22,34,3,0,1
"2024-01-01",22,18,3,0,0
"2024-02-01",27,19,3,1,0
"2024-03-01",20,14,2,1,1
"2024-04-01",18,10,1,0,1
"2024-05-01",17,8,2,0,0
"2024-06-01",27,9,2,0,0
"2024-07-01",26,9,1,0,1
"2024-08-01",22,9,1,1,0
"2024-09-01",20,8,1,0,0
"2024-10-01",21,8,2,0,0
"2024-11-01",48,20,3,2,0
"2024-12-01",69,26,4,2,1
"2025-01-01",44,12,3,1,1
"2025-02-01",37,8,2,1,0
"2025-03-01",33,7,2,1,1
"2025-04-01",24,4,2,0,0
"2025-05-01",29,5,3,1,1
"2025-06-01",30,5,2,1,0
"2025-07-01",46,8,3,1,1
"2025-08-01",34,5,2,1,1
"2025-09-01",35,10,2,2,0
"2025-10-01",28,7,1,1,1
"2025-11-01",55,13,2,2,0
"2025-12-01",56,15,2,2,1
"2026-01-01",41,9,2,1,0
"2026-02-01",49,11,2,1,1
"2026-03-01",46,15,3,1,1
"2026-04-01",100,63,4,1,3
"2026-05-01",46,21,2,1,1
